Company Name,Industry,Symbol,Series
Nectar Lifescience Ltd,Pharmaceuticals,NECLIFE,EQ
Nelcast Ltd,"Castings, Forgings & Fastners",NELCAST,EQ
NELCO Ltd,Telecom Equipment & Infra Services,NELCO,EQ
Neogen Chemicals Ltd,Chemicals,NEOGEN,EQ
Nephrocare Health Services Ltd,Healthcare,NEPHROPLUS,EQ
NESCO Ltd,Realty,NESCO,EQ
Nestle India Ltd,FMCG,NESTLEIND,EQ
Netweb Technologies India Ltd,IT - Hardware,NETWEB,EQ
Neueon Corporation Ltd,Trading,NEUEON,EQ
Neuland Laboratories Ltd,Pharmaceuticals,NEULANDLAB,EQ
Newgen Software Technologies Ltd,IT - Software,NEWGEN,EQ
National Fertilizer Ltd,Fertilizers,NFL,EQ
NGL Fine Chem Ltd,Pharmaceuticals,NGLFINE,EQ
Narayana Hrudayalaya Ltd,Healthcare,NH,EQ
NHPC Ltd,Power Generation & Distribution,NHPC,EQ
NIBE Ltd,Aerospace & Defence,NIBE,EQ
NIIT Ltd,Computer Education,NIITLTD,EQ
NIIT Learning Systems Ltd,Computer Education,NIITMTS,EQ
Nila Infrastructures Ltd,Construction,NILAINFRA,EQ
Nila Spaces Ltd,Realty,NILASPACES,EQ
Nilkamal Ltd,Plastic products,NILKAMAL,EQ
NINtec Systems Ltd,IT - Software,NINSYS,EQ
Indo National Ltd,Dry cells,NIPPOBATRY,EQ
Niraj Cement Structurals Ltd,Infrastructure Developers & Operators,NIRAJ,EQ
Nitco Ltd,Ceramic Products,NITCO,EQ
Nitin Spinners Ltd,Textiles,NITINSPIN,EQ
Nitiraj Engineers Ltd,Electronics,NITIRAJ,EQ
NLC India Ltd,Power Generation & Distribution,NLCINDIA,EQ
NMDC Ltd,Mining & Mineral products,NMDC,EQ
NOCIL Ltd,Chemicals,NOCIL,EQ
Nova Agritech Ltd,Fertilizers,NOVAAGRI,EQ
Novartis India Ltd,Pharmaceuticals,NOVARTIND,EQ
Network People Services Technologies Ltd,IT - Software,NPST,EQ
N R Agarwal Industries Ltd,Paper,NRAIL,EQ
NRB Bearings Ltd,Bearings,NRBBEARING,EQ
Nupur Recyclers Ltd,Trading,NRL,EQ
NMDC Steel Ltd,Steel,NSLNISP,EQ
NTPC Ltd,Power Generation & Distribution,NTPC,EQ
NTPC Green Energy Ltd,Power Generation & Distribution,NTPCGREEN,EQ
Nucleus Software Exports Ltd,IT - Software,NUCLEUS,EQ
Nureca Ltd,E-Commerce/App based Aggregator,NURECA,EQ
Nuvoco Vistas Corporation Ltd,Cement,NUVOCO,EQ
Nexus Select Trust,Real Estate Investment Trusts,NXST,EQ
FSN E-Commerce Ventures Ltd,E-Commerce/App based Aggregator,NYKAA,EQ
Oriental Aromatics Ltd,Chemicals,OAL,EQ
OBCL Ltd,Logistics,OBCL,EQ
Oberoi Realty Ltd,Realty,OBEROIRLTY,EQ
OCCL Ltd,Chemicals,OCCLLTD,EQ
Oracle Financial Services Software Ltd,IT - Software,OFSS,EQ
Oil India Ltd,Crude Oil & Natural Gas,OIL,EQ
Oil Country Tubular Ltd,Steel,OILCOUNTUB,EQ
Ola Electric Mobility Ltd,Automobile,OLAELEC,EQ
Olectra Greentech Ltd,Automobile,OLECTRA,EQ
Omax Autos Ltd,Auto Ancillaries,OMAXAUTO,EQ
Omaxe Ltd,Realty,OMAXE,EQ
Om Freight Forwarders Ltd,Logistics,OMFREIGHT,EQ
Om Infra Ltd,Infrastructure Developers & Operators,OMINFRAL,EQ
Omnitech Engineering Ltd,Engineering,OMNI,EQ
Om Power Transmission Ltd,Infrastructure Developers & Operators,OMPOWER,EQ
One Point One Solutions Ltd,IT - Software,ONEPOINT,EQ
OneSource Specialty Pharma Ltd,Pharmaceuticals,ONESOURCE,EQ
Oil & Natural Gas Corpn Ltd,Crude Oil & Natural Gas,ONGC,EQ
Onida Electronics Ltd,Consumer Durables,ONIDA,EQ
OnMobile Global Ltd,Telecom-Service,ONMOBILE,EQ
