Date,Symbols,Above_MA_30W,Symbols_MA_10W,Above_MA_10W,Pct_Above_MA_30W,Pct_Above_MA_10W,Benchmark_Close,Benchmark_Ticker
2026-03-12,1500,246,1504,310,16.400000000000002,20.611702127659576,21897.5,^CRSLDX
2026-03-13,1500,205,1504,217,13.666666666666666,14.428191489361703,21391.19921875,^CRSLDX
2026-03-16,1500,203,1504,196,13.533333333333333,13.031914893617023,21498.80078125,^CRSLDX
2026-03-17,1500,209,1504,235,13.933333333333334,15.625,21669.30078125,^CRSLDX
2026-03-18,1500,236,1504,302,15.733333333333333,20.079787234042552,21917.400390625,^CRSLDX
2026-03-19,1500,203,1504,223,13.533333333333333,14.827127659574469,21225.80078125,^CRSLDX
2026-03-20,1500,216,1504,277,14.399999999999999,18.41755319148936,21327.900390625,^CRSLDX
2026-03-23,1500,158,1504,163,10.533333333333333,10.837765957446809,20664.25,^CRSLDX
2026-03-24,1500,192,1504,214,12.8,14.22872340425532,21067.0,^CRSLDX
2026-03-25,1500,225,1504,269,15.0,17.88563829787234,21478.19921875,^CRSLDX
2026-03-27,1500,202,1504,212,13.466666666666665,14.095744680851062,21020.150390625,^CRSLDX
2026-03-30,1500,177,1504,183,11.799999999999999,12.167553191489363,20528.05078125,^CRSLDX
2026-04-01,1500,225,1504,260,15.0,17.287234042553195,20935.150390625,^CRSLDX
2026-04-02,1500,228,1504,291,15.2,19.34840425531915,20938.349609375,^CRSLDX
2026-04-06,1500,247,1504,354,16.466666666666665,23.537234042553195,21194.05078125,^CRSLDX
2026-04-07,1500,262,1504,388,17.466666666666665,25.79787234042553,21296.44921875,^CRSLDX
2026-04-08,1500,344,1504,685,22.933333333333334,45.54521276595745,22137.099609375,^CRSLDX
2026-04-09,1500,348,1504,690,23.200000000000003,45.87765957446808,22037.5,^CRSLDX
2026-04-10,1500,408,1504,909,27.200000000000003,60.43882978723404,22346.75,^CRSLDX
2026-04-13,1500,396,1504,880,26.400000000000002,58.51063829787234,22179.05078125,^CRSLDX
2026-04-15,1500,518,1504,1122,34.53333333333333,74.60106382978722,22595.55078125,^CRSLDX
2026-04-16,1500,554,1504,1192,36.93333333333334,79.25531914893617,22656.30078125,^CRSLDX
2026-04-17,1500,614,1504,1271,40.93333333333333,84.50797872340425,22869.400390625,^CRSLDX
2026-04-20,1500,587,1504,1226,39.13333333333333,81.5159574468085,22865.80078125,^CRSLDX
2026-04-21,1500,625,1504,1270,41.66666666666667,84.44148936170212,23042.349609375,^CRSLDX
