Symbol,TV_Sector,TV_Industry
VGL,Process Industries,Textiles
VGUARD,Producer Manufacturing,Electrical Products
VHL,Finance,Investment Managers
VHLTD,Consumer Services,Hotels/Resorts/Cruise lines
VIDHIING,Consumer Non-Durables,Food: Specialty/Candy
VIDYAWIRES,Non-Energy Minerals,Other Metals/Minerals
VIESL,Finance,Finance/Rental/Leasing
VIJAYA,Health Services,Medical/Nursing Services
VIJAYPD,Distribution Services,Medical Distributors
VIKASECO,Process Industries,Chemicals: Major Diversified
VIKASLIFE,Distribution Services,Wholesale Distributors
VIKRAMSOLR,Electronic Technology,Semiconductors
VIKRAN,Industrial Services,Engineering & Construction
VILAS,Electronic Technology,Electronic Components
VIMTALABS,Commercial Services,Miscellaneous Commercial Services
VINATIORGA,Process Industries,Chemicals: Specialty
VINCOFE,Distribution Services,Wholesale Distributors
VINDHYATEL,Industrial Services,Engineering & Construction
VINSYS,Commercial Services,Miscellaneous Commercial Services
VINYAS,Electronic Technology,Electronic Production Equipment
VINYLINDIA,Distribution Services,Wholesale Distributors
VIPCLOTHNG,Consumer Non-Durables,Apparel/Footwear
VIPIND,Consumer Durables,Other Consumer Specialties
VIPULLTD,Finance,Real Estate Development
VIRINCHI,Technology Services,Information Technology Services
VISAKAIND,Process Industries,Industrial Specialties
VISAMAN,Distribution Services,Wholesale Distributors
VISASTEEL,Non-Energy Minerals,Steel
VISHNU,Process Industries,Chemicals: Specialty
VISHNUINFR,Non-Energy Minerals,Construction Materials
VISHWARAJ,Process Industries,Agricultural Commodities/Milling
VITAL,Process Industries,Chemicals: Specialty
VIVIANA,Industrial Services,Engineering & Construction
VIYASH,Health Technology,Pharmaceuticals: Major
VLEGOV,Technology Services,Information Technology Services
VLSFINANCE,Finance,Investment Banks/Brokers
VMARCIND,Producer Manufacturing,Electrical Products
VMART,Retail Trade,Specialty Stores
VMM,Retail Trade,Apparel/Footwear Retail
VMSTMT,Non-Energy Minerals,Steel
VOLERCAR,Transportation,Other Transportation
VOLTAMP,Producer Manufacturing,Electrical Products
VOLTAS,Producer Manufacturing,Industrial Machinery
VPRPL,Industrial Services,Engineering & Construction
VR,Finance,Real Estate Development
VRAJ,Non-Energy Minerals,Steel
VRLLOG,Transportation,Trucking
VSSL,Non-Energy Minerals,Steel
VSTIND,Consumer Non-Durables,Tobacco
VSTL,Non-Energy Minerals,Steel
VSTTILLERS,Producer Manufacturing,Trucks/Construction/Farm Machinery
VTL,Process Industries,Textiles
WAAREEENER,Electronic Technology,Semiconductors
WAAREEINDO,Electronic Technology,Electronic Equipment/Instruments
WAAREERTL,Utilities,Alternative Power Generation
WABAG,Industrial Services,Engineering & Construction
WAKEFIT,Retail Trade,Specialty Stores
WALCHANNAG,Producer Manufacturing,Industrial Machinery
WANBURY,Health Technology,Pharmaceuticals: Major
WCIL,Transportation,Air Freight/Couriers
WEALTH,Finance,Investment Managers
WEBELSOLAR,Electronic Technology,Semiconductors
WEIZMANIND,Process Industries,Textiles
WEL,Electronic Technology,Electronic Equipment/Instruments
WELCORP,Producer Manufacturing,Industrial Machinery
WELENT,Industrial Services,Engineering & Construction
WELINV,Finance,Investment Banks/Brokers
WELSPUNLIV,Consumer Non-Durables,Consumer Sundries
WENDT,Producer Manufacturing,Industrial Machinery
WESTLIFE,Consumer Services,Restaurants
WEWORK,Finance,Real Estate Development
WHEELS,Producer Manufacturing,Auto Parts: OEM
WHIRLPOOL,Consumer Durables,Electronics/Appliances
WINDLAS,Health Technology,Pharmaceuticals: Major
WINDMACHIN,Producer Manufacturing,Industrial Machinery
WINSOL,Industrial Services,Engineering & Construction
WIPL,Non-Energy Minerals,Forest Products
WIPRO,Technology Services,Information Technology Services
WOCKPHARMA,Health Technology,Pharmaceuticals: Major
WOMANCART,Retail Trade,Specialty Stores
WONDERLA,Consumer Services,Movies/Entertainment
WORTHPERI,Process Industries,Containers/Packaging
WSI,Producer Manufacturing,Electrical Products
WSTCSTPAPR,Producer Manufacturing,Office Equipment/Supplies
WTICAB,Finance,Finance/Rental/Leasing
XCHANGING,Technology Services,Information Technology Services
XELPMOC,Technology Services,Information Technology Services
XPROINDIA,Process Industries,Industrial Specialties
XTGLOBAL,Technology Services,Information Technology Services
YASHO,Consumer Non-Durables,Food: Specialty/Candy
YASHOPTICS,Health Technology,Medical Specialties
YATHARTH,Health Services,Hospital/Nursing Management
YATRA,Consumer Services,Other Consumer Services
YESBANK,Finance,Major Banks
YUKEN,Producer Manufacturing,Industrial Machinery
ZAGGLE,Technology Services,Packaged Software
ZEAL,Transportation,Airlines
ZEEL,Consumer Services,Broadcasting
ZEELEARN,Consumer Services,Other Consumer Services
ZEEMEDIA,Consumer Services,Broadcasting
ZENITHEXPO,Consumer Non-Durables,Apparel/Footwear
ZENSARTECH,Technology Services,Packaged Software
ZENTEC,Technology Services,Information Technology Services
ZFCVINDIA,Producer Manufacturing,Auto Parts: OEM
ZIMLAB,Health Technology,Pharmaceuticals: Generic
ZODIAC,Producer Manufacturing,Building Products
ZODIACLOTH,Consumer Non-Durables,Apparel/Footwear
ZOTA,Health Technology,Pharmaceuticals: Major
ZTECH,Industrial Services,Engineering & Construction
ZUARI,Process Industries,Chemicals: Agricultural
ZUARIIND,Process Industries,Agricultural Commodities/Milling
ZYDUSLIFE,Health Technology,Pharmaceuticals: Major
ZYDUSWELL,Consumer Non-Durables,Food: Major Diversified
BAJAJ-AUTO,Automobile and Auto Components,Automobile and Auto Components
LTM,Information Technology,Information Technology
NAM-INDIA,Financial Services,Financial Services
JSWDULUX,Consumer Durables,Consumer Durables
SKFINDUS,Capital Goods,Capital Goods
